MARKET: Bitcoin Up or Down - December 12, 9:30AM-9:45AM ET
RESOLUTION: YES
TRADES: 707
TIME RANGE: 2025-12-12 09:30:20 to 2025-12-12 09:41:20
PRICE RANGE: 2.00 - 99.00

--- Position at resolution ---
Remaining YES shares: 4085.34
Remaining NO shares:  4043.87
Final value: $ 4085.34
Total spent (net exposure): $ 4032.10
FINAL PNL: $ 53.23

--- Buy/Sell totals ---
YES buys:  4085.34 sh / $ 2713.01
YES sells: 0.00 sh / $ 0.00
NO buys:   4043.87 sh / $ 1319.09
NO sells:  0.00 sh / $ 0.00

--- Cumulative buys ---
YES cumulative: 4085.34 sh / $ 2713.01
NO cumulative:  4043.87 sh / $ 1319.09

--- Exposure peaks (trade index: earliest → latest) ---
YES dollar peak: $ 2713.01 at trade #707
NO dollar peak:  $ 1319.09 at trade #703
YES share peak:  4085.34 sh at trade #707
NO share peak:   4043.87 sh at trade #703

--- Final exposure ---
YES exposure: $ 2713.01 | 4085.34 sh
NO exposure:  $ 1319.09 | 4043.87 sh
NET exposure: $ 4032.10 | 8129.20 sh

--- Trades (Sorted by Timestamp) ---
Idx | Time                | Type | Side | Price(c) |   Shares   |    Cost($)
161 | 2025-12-12 09:31:38 | Buy  | Up   |    45.00 |       2.76 | $      1.24
162 | 2025-12-12 09:31:38 | Buy  | Down |    56.00 |      20.00 | $     11.20
163 | 2025-12-12 09:31:38 | Buy  | Down |    53.00 |       9.99 | $      5.29
164 | 2025-12-12 09:31:40 | Buy  | Up   |    48.00 |      20.00 | $      9.60
165 | 2025-12-12 09:31:40 | Buy  | Up   |    49.00 |       7.79 | $      3.82
166 | 2025-12-12 09:31:40 | Buy  | Up   |    49.00 |       5.00 | $      2.45
167 | 2025-12-12 09:31:40 | Buy  | Up   |    49.00 |       5.05 | $      2.47
168 | 2025-12-12 09:31:40 | Buy  | Up   |    47.00 |       5.00 | $      2.35
169 | 2025-12-12 09:31:40 | Buy  | Up   |    47.00 |       7.87 | $      3.70
170 | 2025-12-12 09:31:40 | Buy  | Up   |    49.00 |       2.16 | $      1.06
171 | 2025-12-12 09:31:42 | Buy  | Up   |    48.00 |       0.27 | $      0.13
172 | 2025-12-12 09:31:42 | Buy  | Up   |    50.00 |      20.00 | $     10.00
173 | 2025-12-12 09:31:42 | Buy  | Down |    54.00 |      20.00 | $     10.80
174 | 2025-12-12 09:31:42 | Buy  | Up   |    49.00 |       2.16 | $      1.06
175 | 2025-12-12 09:31:42 | Buy  | Up   |    48.00 |       3.00 | $      1.44
176 | 2025-12-12 09:31:42 | Buy  | Up   |    48.00 |       2.15 | $      1.03
177 | 2025-12-12 09:31:42 | Buy  | Up   |    50.00 |      20.00 | $     10.00
178 | 2025-12-12 09:31:42 | Buy  | Up   |    48.00 |       6.00 | $      2.88
179 | 2025-12-12 09:31:42 | Buy  | Down |    51.00 |       4.69 | $      2.39
180 | 2025-12-12 09:31:42 | Buy  | Down |    52.00 |       5.00 | $      2.60
181 | 2025-12-12 09:31:44 | Buy  | Up   |    49.00 |       2.20 | $      1.08
182 | 2025-12-12 09:31:44 | Buy  | Up   |    51.00 |      20.00 | $     10.20
183 | 2025-12-12 09:31:44 | Buy  | Up   |    49.00 |       3.20 | $      1.57
184 | 2025-12-12 09:31:44 | Buy  | Up   |    50.00 |       5.00 | $      2.50
185 | 2025-12-12 09:31:44 | Buy  | Up   |    51.00 |      20.00 | $     10.20
186 | 2025-12-12 09:31:46 | Buy  | Down |    49.00 |      20.00 | $      9.80
187 | 2025-12-12 09:31:46 | Buy  | Up   |    50.00 |      14.80 | $      7.40
188 | 2025-12-12 09:31:46 | Buy  | Up   |    50.00 |       5.20 | $      2.60
189 | 2025-12-12 09:31:48 | Buy  | Down |    46.00 |      20.00 | $      9.20
190 | 2025-12-12 09:31:48 | Buy  | Down |    49.00 |      20.00 | $      9.80
191 | 2025-12-12 09:31:50 | Buy  | Down |    47.00 |      20.00 | $      9.40
192 | 2025-12-12 09:31:50 | Buy  | Up   |    60.00 |      20.00 | $     12.00
193 | 2025-12-12 09:31:50 | Buy  | Up   |    60.00 |      20.00 | $     12.00
194 | 2025-12-12 09:31:50 | Buy  | Up   |    59.00 |      20.00 | $     11.80
195 | 2025-12-12 09:31:50 | Buy  | Up   |    58.75 |      20.00 | $     11.75
196 | 2025-12-12 09:31:50 | Buy  | Up   |    53.00 |      20.00 | $     10.60
197 | 2025-12-12 09:31:52 | Buy  | Down |    37.00 |       3.35 | $      1.24
198 | 2025-12-12 09:31:52 | Buy  | Down |    37.00 |       1.00 | $      0.37
199 | 2025-12-12 09:31:52 | Buy  | Down |    37.00 |       5.00 | $      1.85
200 | 2025-12-12 09:31:52 | Buy  | Down |    37.00 |      15.00 | $      5.55
201 | 2025-12-12 09:31:52 | Buy  | Up   |    63.00 |      20.00 | $     12.60
202 | 2025-12-12 09:31:54 | Buy  | Down |    37.00 |      19.00 | $      7.03
203 | 2025-12-12 09:31:54 | Buy  | Down |    38.00 |      20.00 | $      7.60
204 | 2025-12-12 09:31:56 | Buy  | Down |    36.00 |       2.00 | $      0.72
205 | 2025-12-12 09:31:56 | Buy  | Down |    36.00 |      20.00 | $      7.20
206 | 2025-12-12 09:31:56 | Buy  | Down |    36.00 |       5.00 | $      1.80
207 | 2025-12-12 09:31:56 | Buy  | Down |    36.00 |       9.25 | $      3.33
208 | 2025-12-12 09:31:56 | Buy  | Down |    36.00 |      13.00 | $      4.68
209 | 2025-12-12 09:31:56 | Buy  | Down |    36.00 |       4.35 | $      1.57
210 | 2025-12-12 09:31:56 | Buy  | Down |    36.00 |       2.00 | $      0.72
211 | 2025-12-12 09:31:56 | Buy  | Down |    36.00 |      18.00 | $      6.48
212 | 2025-12-12 09:31:56 | Buy  | Down |    36.00 |       6.40 | $      2.30
213 | 2025-12-12 09:31:58 | Buy  | Down |    37.00 |      20.00 | $      7.40
214 | 2025-12-12 09:32:02 | Buy  | Down |    36.00 |      20.00 | $      7.20
215 | 2025-12-12 09:32:04 | Buy  | Down |    44.00 |       5.00 | $      2.20
216 | 2025-12-12 09:32:04 | Buy  | Up   |    55.00 |       7.00 | $      3.85
217 | 2025-12-12 09:32:04 | Buy  | Down |    43.22 |      20.00 | $      8.64
218 | 2025-12-12 09:32:04 | Buy  | Down |    44.00 |       4.65 | $      2.05
219 | 2025-12-12 09:32:04 | Buy  | Down |    44.00 |       8.12 | $      3.58
220 | 2025-12-12 09:32:04 | Buy  | Down |    39.00 |       3.76 | $      1.47
221 | 2025-12-12 09:32:04 | Buy  | Down |    44.25 |      20.00 | $      8.85
222 | 2025-12-12 09:32:04 | Buy  | Down |    44.00 |       5.00 | $      2.20
223 | 2025-12-12 09:32:04 | Buy  | Down |    44.00 |       7.12 | $      3.14
224 | 2025-12-12 09:32:04 | Buy  | Down |    44.00 |       8.12 | $      3.58
225 | 2025-12-12 09:32:04 | Buy  | Down |    44.00 |       8.12 | $      3.58
226 | 2025-12-12 09:32:04 | Buy  | Down |    44.00 |       3.38 | $      1.49
227 | 2025-12-12 09:32:04 | Buy  | Up   |    55.00 |      20.00 | $     11.00
228 | 2025-12-12 09:32:04 | Buy  | Down |    43.00 |      20.00 | $      8.60
229 | 2025-12-12 09:32:04 | Buy  | Down |    45.00 |      20.00 | $      9.00
230 | 2025-12-12 09:32:04 | Buy  | Down |    44.00 |       4.74 | $      2.09
231 | 2025-12-12 09:32:04 | Buy  | Down |    44.00 |       0.35 | $      0.15
232 | 2025-12-12 09:32:04 | Buy  | Down |    44.00 |       6.00 | $      2.64
233 | 2025-12-12 09:32:04 | Buy  | Down |    44.00 |       5.00 | $      2.20
234 | 2025-12-12 09:32:06 | Buy  | Down |    41.00 |      12.45 | $      5.10
235 | 2025-12-12 09:32:06 | Buy  | Down |    41.00 |       5.00 | $      2.05
236 | 2025-12-12 09:32:08 | Buy  | Down |    40.00 |       0.09 | $      0.04
237 | 2025-12-12 09:32:08 | Buy  | Down |    42.00 |       3.45 | $      1.45
238 | 2025-12-12 09:32:08 | Buy  | Down |    41.00 |       2.54 | $      1.04
