MARKET: Bitcoin Up or Down - December 12, 9:15AM-9:30AM ET
RESOLUTION: NO
TRADES: 955
TIME RANGE: 2025-12-12 09:15:30 to 2025-12-12 09:29:14
PRICE RANGE: 1.00 - 95.00

--- Position at resolution ---
Remaining YES shares: 5393.64
Remaining NO shares:  5374.96
Final value: $ 5374.96
Total spent (net exposure): $ 5250.82
FINAL PNL: $ 124.14

--- Buy/Sell totals ---
YES buys:  5393.64 sh / $ 2605.44
YES sells: 0.00 sh / $ 0.00
NO buys:   5374.96 sh / $ 2645.37
NO sells:  0.00 sh / $ 0.00

--- Cumulative buys ---
YES cumulative: 5393.64 sh / $ 2605.44
NO cumulative:  5374.96 sh / $ 2645.37

--- Exposure peaks (trade index: earliest → latest) ---
YES dollar peak: $ 2605.44 at trade #953
NO dollar peak:  $ 2645.37 at trade #955
YES share peak:  5393.64 sh at trade #953
NO share peak:   5374.96 sh at trade #955

--- Final exposure ---
YES exposure: $ 2605.44 | 5393.64 sh
NO exposure:  $ 2645.37 | 5374.96 sh
NET exposure: $ 5250.82 | 10768.60 sh

--- Trades (Sorted by Timestamp) ---
Idx | Time                | Type | Side | Price(c) |   Shares   |    Cost($)
223 | 2025-12-12 09:18:24 | Buy  | Up   |    46.00 |       5.00 | $      2.30
224 | 2025-12-12 09:18:24 | Buy  | Up   |    46.00 |       6.44 | $      2.96
225 | 2025-12-12 09:18:24 | Buy  | Up   |    45.00 |      11.00 | $      4.95
226 | 2025-12-12 09:18:30 | Buy  | Down |    52.00 |       9.00 | $      4.68
227 | 2025-12-12 09:18:30 | Buy  | Down |    52.00 |       5.00 | $      2.60
228 | 2025-12-12 09:18:30 | Buy  | Down |    52.00 |       5.00 | $      2.60
229 | 2025-12-12 09:18:30 | Buy  | Down |    52.00 |       1.26 | $      0.66
230 | 2025-12-12 09:18:32 | Buy  | Up   |    49.00 |      20.00 | $      9.80
231 | 2025-12-12 09:18:32 | Buy  | Up   |    49.00 |      20.00 | $      9.80
232 | 2025-12-12 09:18:32 | Buy  | Up   |    49.00 |       3.52 | $      1.72
233 | 2025-12-12 09:18:34 | Buy  | Up   |    58.00 |       6.00 | $      3.48
234 | 2025-12-12 09:18:34 | Buy  | Up   |    59.00 |      20.00 | $     11.80
235 | 2025-12-12 09:18:34 | Buy  | Up   |    59.00 |      20.00 | $     11.80
236 | 2025-12-12 09:18:36 | Buy  | Down |    39.00 |       6.00 | $      2.34
237 | 2025-12-12 09:18:38 | Buy  | Down |    39.00 |       6.00 | $      2.34
238 | 2025-12-12 09:18:38 | Buy  | Up   |    60.00 |       5.28 | $      3.17
239 | 2025-12-12 09:18:38 | Buy  | Down |    39.00 |      20.00 | $      7.80
240 | 2025-12-12 09:18:38 | Buy  | Down |    39.00 |      20.00 | $      7.80
241 | 2025-12-12 09:18:38 | Buy  | Down |    39.00 |      20.00 | $      7.80
242 | 2025-12-12 09:18:38 | Buy  | Up   |    60.00 |      15.00 | $      9.00
